id,host,action,start_way,container_attr,container_way,queue_time,create_time,rent_time,inter_start,inter_end,end-to-end,container_start,container_end,exeuction
4a9db425352f45c6b902f3ac03b7b60a,172.20.185.123,network,cold,exec,create,0.002166748046875,0.7017965316772461,0.004557371139526367,1610279366.0941157,1610279366.8483994,0.7542836666107178,1610279366.82661,1610279366.8384328,0.011822700500488281
dc682383538448b4bef07ec742e2f58f,172.20.185.122,matmul,cold,exec,create,0.004091501235961914,0.7179715633392334,0.0024793148040771484,1610279366.0954678,1610279366.8452132,0.7497453689575195,1610279366.8255014,1610279366.8369694,0.011467933654785156
c700166cfa9942da83b6d7373790f8b1,172.20.185.120,linpack,cold,exec,create,0.00408935546875,0.703986644744873,0.0024187564849853516,1610279366.0955434,1610279366.8304071,0.7348637580871582,1610279366.8116803,1610279366.8224375,0.010757207870483398
3bbd33d492614f7c8bf6fcaadbd9b489,172.20.185.123,network,cold,exec,create,0.04671311378479004,2.2785000801086426,0.0026254653930664062,1610279366.0980942,1610279368.5089881,2.4108939170837402,1610279368.462812,1610279368.4917238,0.028911828994750977
e5155179559b429994df36c57c177637,172.20.185.123,network,cold,exec,create,0.05271482467651367,2.244053363800049,0.0023202896118164062,1610279366.0992246,1610279368.4968727,2.3976480960845947,1610279368.4235232,1610279368.4843235,0.06080031394958496
c74c2107d40c4a72910c102df92530f8,172.20.185.123,network,cold,exec,create,0.05833768844604492,2.071110725402832,0.002377748489379883,1610279366.1002958,1610279368.2825525,2.1822566986083984,1610279368.2579722,1610279368.2743905,0.0164182186126709
ad397f7bda664729884dddc294aa882f,172.20.185.123,network,cold,exec,create,0.03656506538391113,1.9607162475585938,0.002435445785522461,1610279366.1014814,1610279368.1612945,2.0598130226135254,1610279368.1263592,1610279368.1505442,0.0241849422454834
f0e5051e430140609729511f41a3997e,172.20.185.123,network,cold,exec,create,0.04242873191833496,1.9145684242248535,0.002407073974609375,1610279366.1025603,1610279368.1332114,2.030651092529297,1610279368.086685,1610279368.1181364,0.03145146369934082
91cae094073a4b4497f4e17475ab522f,172.20.185.123,network,cold,exec,create,0.01566624641418457,1.6066198348999023,0.002224445343017578,1610279366.1036255,1610279367.7682817,1.664656162261963,1610279367.7451832,1610279367.757682,0.012498855590820312
f4a6a7d35d7d43c58fdcbdea559b5d69,172.20.185.123,network,cold,exec,create,0.012817144393920898,0.8899044990539551,0.002321958541870117,1610279366.104807,1610279367.049949,0.9451420307159424,1610279367.024986,1610279367.0408728,0.015886783599853516
6743fae1f82c4d379cc0926dcea24904,172.20.185.123,network,cold,exec,create,0.006855010986328125,1.2437467575073242,0.002490997314453125,1610279366.1058843,1610279367.409385,1.3035006523132324,1610279367.3749127,1610279367.3987882,0.02387547492980957
243c43295bc44201b6fee8296af63e1b,172.20.185.123,network,cold,exec,create,0.03365898132324219,1.2363262176513672,0.0023658275604248047,1610279366.1069508,1610279367.4213872,1.314436435699463,1610279367.3939788,1610279367.4130166,0.019037723541259766
6991eb0f973449238f99a93ffa0790fe,172.20.185.123,network,cold,exec,create,0.022547006607055664,1.451824426651001,0.0023169517517089844,1610279366.1080234,1610279367.6200721,1.5120487213134766,1610279367.5962162,1610279367.6113896,0.01517343521118164
4a8d11a6d224447a8594610a32bdc18d,172.20.185.123,network,cold,exec,create,0.027621030807495117,1.548020362854004,0.0023720264434814453,1610279366.1091933,1610279367.7197945,1.6106011867523193,1610279367.6973934,1610279367.712137,0.014743566513061523
1a4b45181ebf403a93e9a718d1ede8ae,172.20.185.123,network,cold,exec,create,0.003688335418701172,2.3430819511413574,0.0027666091918945312,1610279366.3811836,1610279368.7705274,2.389343738555908,1610279368.742988,1610279368.7597923,0.016804218292236328
4a9126995f154a78b4d48679dfc6b2b3,172.20.185.123,network,cold,exec,create,0.028879404067993164,2.3441128730773926,0.0033986568450927734,1610279366.3947475,1610279368.8444057,2.449658155441284,1610279368.7921221,1610279368.8109248,0.018802642822265625
3b8bbbb46703482f81103c9b0e7379d7,172.20.185.122,matmul,cold,exec,create,0.0030989646911621094,0.6901822090148926,0.0028541088104248047,1610279366.395796,1610279367.1160262,0.7202301025390625,1610279367.0969503,1610279367.1080086,0.011058330535888672
e947a7a8781f4fc58b3b2ac48f78a91a,172.20.185.120,linpack,cold,exec,create,0.0020995140075683594,0.7276313304901123,0.0033178329467773438,1610279366.3958442,1610279367.155019,0.7591748237609863,1610279367.1341486,1610279367.1470935,0.012944936752319336
74974da9591e40c992f1f650713e3384,172.20.185.123,network,cold,exec,create,0.025386571884155273,2.41288161277771,0.0023827552795410156,1610279366.3975117,1610279368.9014673,2.503955602645874,1610279368.881095,1610279368.892957,0.011862039566040039
1dedbfa0f8b448efbbbb0c69dfab2d99,172.20.185.123,network,cold,exec,create,0.014079093933105469,2.44214129447937,0.0041141510009765625,1610279366.3987975,1610279368.919784,2.520986557006836,1610279368.901447,1610279368.9128706,0.011423587799072266
4328c38a866e49b782a8bffaabbf6062,172.20.185.123,network,cold,exec,create,0.008118867874145508,2.949591636657715,0.002978086471557617,1610279366.3998601,1610279369.4289732,3.0291130542755127,1610279369.4018278,1610279369.4174533,0.015625476837158203
6986b641c2274531b787e7db04c913ee,172.20.185.123,network,cold,exec,create,0.04077959060668945,2.970486640930176,0.0025413036346435547,1610279366.400899,1610279369.4970944,3.0961954593658447,1610279369.4560835,1610279369.4849043,0.02882075309753418
d028431640874b28b06e4a3c7f247e3f,172.20.185.123,network,cold,exec,create,0.01824951171875,3.0039985179901123,0.0025284290313720703,1610279366.4021435,1610279369.5075042,3.105360746383667,1610279369.4710855,1610279369.4894722,0.0183866024017334
52f58f778f21465cb1abe2d8eaf842b8,172.20.185.123,network,cold,exec,create,0.04574728012084961,2.980463743209839,0.0024323463439941406,1610279366.4032083,1610279369.5089417,3.1057333946228027,1610279369.471669,1610279369.4939961,0.022327184677124023
c2cd7db354744bf78877f9abf4915b9a,172.20.185.123,network,cold,exec,create,0.0509946346282959,3.0205576419830322,0.0027632713317871094,1610279366.4042537,1610279369.555324,3.1510703563690186,1610279369.5169132,1610279369.5320718,0.015158653259277344
3ba1a5c205694b93aa14658d0f15188e,172.20.185.123,network,cold,exec,create,0.02852153778076172,3.1188113689422607,0.00238800048828125,1610279366.4053414,1610279369.6130714,3.2077300548553467,1610279369.5923684,1610279369.6048687,0.012500286102294922
0b4e862212b94e73bce1d1025cb26ea5,172.20.185.123,network,cold,exec,create,0.05628395080566406,3.3129661083221436,0.002324342727661133,1610279366.4065218,1610279369.8389869,3.432465076446533,1610279369.8165507,1610279369.829943,0.013392210006713867
0990252ac5194ff6b80810f46f15ebd5,172.20.185.123,network,cold,exec,create,0.03329277038574219,3.573096513748169,0.002359628677368164,1610279366.4077249,1610279370.086791,3.6790661811828613,1610279370.0533004,1610279370.0773606,0.02406024932861328
a44e54cb7b5d482c9945a545aafe87e1,172.20.185.119,network,cold,exec,create,0.0020487308502197266,0.729785680770874,0.004973888397216797,1610279366.712678,1610279367.4948447,0.7821667194366455,1610279367.4741504,1610279367.4859033,0.011752843856811523
