id,time,action,qos,qos_target,lender_pool,type
98c86bfaf35e44a4bd5771218bc10b9e,1609418408.7658744,linpack,0.65,0.2,1,repack
f57291ffd5ed4341914c440975c59495,1609418410.1499953,markdown2html,0.65,0.2,1,repack
002615d02877445e8e0b5f64f6ec34ac,1609418413.567255,k-means,0.65,0.2,1,repack
8e23659137ad42d1898eb99652fb4d83,1609418414.4527335,k-means,0.65,0.2,2,repack
d9f64946913a46feac80352d4c0d6d82,1609418417.5708482,network,0.42250000000000004,0.2,1,repack
b668a5b8e4de44389f310e8bc117357b,1609418418.596035,couchdb_test,0.65,0.2,1,repack
e8cefd5547fc43058c3685a793cd9e01,1609418418.9723973,markdown2html,0.27462500000000006,0.2,2,repack
73afb6daa9084bfb8a46c743fdbc187a,1609418422.2884483,float_operation,0.020711912837890638,0.2,1,repack
87034b7b40814c44905733f1ee2c3c78,1609418426.1598566,float_operation,0.020711912837890638,0.2,2,repack
211b4cd35eec443abd6b5e061f4feec5,1609418434.1794655,float_operation,0.020711912837890638,0.2,3,repack
62514ca226524744b9a222f81e83f3ab,1609418436.6149943,linpack,0.65,0.2,1,create
0f49a043cf3c486da3be385499024794,1609418442.2910705,float_operation,0.020711912837890638,0.2,3,repack
0ee352dffd774229afe41ce7d58c73ab,1609418446.1054318,float_operation,0.020711912837890638,0.2,4,repack
1f681f51df2f4079a60c0cb998eafbda,1609418447.3003836,float_operation,0.020711912837890638,0.2,5,repack
9f22b2083abd4ec4ae6e4abeccdfdf2b,1609418448.27923,markdown2html,0.11602906250000004,0.2,2,create
49a2ea2ed5ea4855a689f1cf65242078,1609418449.3871875,network,0.26390406250000004,0.2,2,repack
55dd71b888c74c769f23af49d8dbe105,1609418449.8446786,float_operation,0.020711912837890638,0.2,6,create
8fb4aff5a23b45b7ae243b6a52cb975f,1609418449.9987593,float_operation,0.020711912837890638,0.2,7,repack
85482dd8b5fd48fc89d6ef8023ac5e81,1609418450.4582312,float_operation,0.020711912837890638,0.2,8,repack
