id,time,action,qos,qos_target,lender_pool,type
8e303be9500b454b8b7a40f95cf71747,1609233598.823201,couchdb_test,0.04902227890625002,0.9818333333333332,1,repack
e86ccacdde26439695e69be60fcb058a,1609233598.9790378,couchdb_test,0.04902227890625002,0.9818333333333332,2,repack
89f314b3df7d449ead6a8122ed6693c8,1609233599.2973044,map_reduce,0.04902227890625002,0.2,1,repack
8ab6fdf2f8ab4cbc98f59be08c67dd7f,1609233602.5988517,map_reduce,0.04902227890625002,0.2,2,repack
7fe49188bb804cc7a8f48765254626c0,1609233602.6007137,map_reduce,0.04902227890625002,0.2,3,repack
ff9962c6acca422c8269374262ba9c5a,1609233605.6286752,map_reduce,0.04902227890625002,0.2,4,repack
e8b3b66245e141bf9d625ad63dbf8698,1609233606.5386362,map_reduce,0.04902227890625002,0.2,5,repack
39c09c3c60224ebd811c7f81fd6d1439,1609233608.6591163,map_reduce,0.04902227890625002,0.2,6,repack
355037fddd844838bd33ba228b86738c,1609233608.7951176,map_reduce,0.04902227890625002,0.2,7,repack
2f9a8ec010304f51980ca793639548e8,1609233614.4302416,map_reduce,0.04902227890625002,0.2,7,repack
3ae194001aa9469db80d867b19a66c54,1609233620.973761,map_reduce,0.020711912837890638,0.2,8,repack
dc1fb93313954425b05757147869e31c,1609233621.176787,couchdb_test,0.013462743344628915,0.9818333333333332,3,repack
000477e8edc74ab7b226ce9992744f56,1609233623.980884,couchdb_test,0.013462743344628915,0.9818333333333332,4,repack
638d93bcc673409ebb8ecb2106f4c870,1609233624.0466702,couchdb_test,0.013462743344628915,0.9818333333333332,5,repack
ce003e9c9c264e068e3586c4f28c6281,1609233627.8919067,linpack,0.65,0.22573333333333334,1,repack
042fad453db6428b82eee2a1990f1ae9,1609233628.4597805,map_reduce,0.005688009063105717,0.2,9,create
45b2e78bbc36483494ce9f77b7819af8,1609233628.8676834,map_reduce,0.005688009063105717,0.2,10,repack
80936f7fd59f4ba5b06cacbb21feb555,1609233630.5410888,image,0.65,0.2,1,repack
056802f805cc4e059aff10f83f9b9b91,1609233632.6713905,video,0.27462500000000006,0.2251,1,repack
78949b57857348d4b8379cb2f98813c4,1609233635.578731,video,0.27462500000000006,0.2251,2,repack
2bcb3c40003e4b5cb4d6ab605372beff,1609233636.2647614,linpack,0.42250000000000004,0.22573333333333334,2,repack
14459d9212b745e0a3a38b17b7919953,1609233637.9257197,map_reduce,0.003697205891018716,0.2,11,repack
60663e77766242248cb446c39dafac1a,1609233642.5358682,linpack,0.42250000000000004,0.22573333333333334,3,repack
b245047c0b454d8aa4dd945946ff4604,1609233643.1767077,linpack,0.42250000000000004,0.22573333333333334,4,repack
15290f8eb7aa407bb0b6023d490bb768,1609233643.9896462,matmul,0.65,0.9734999999999999,1,repack
55e8ec97816e439cb150e43f7494bf80,1609233677.258198,map_reduce,0.07739540282228874,0.2,9,create
5b65cb367a5e40dfb2f94493f5bdb992,1609233721.6491368,couchdb_test,0.1751551668173067,0.9818333333333332,3,repack
70ec254a7ccd4207a9a7cf6775168a42,1609233723.5417225,couchdb_test,0.1751551668173067,0.9818333333333332,4,repack
06b0bf1856ed4e7b9a57a8721e7203bf,1609233802.0883088,couchdb_test,0.24861801115031035,0.9818333333333332,2,create
add32de43e5149efb4e28bc7a0e40344,1609233806.3074977,couchdb_test,0.24861801115031035,0.9818333333333332,3,repack
7ad50f9ac3234605b51456ed1e22fbf7,1609233807.9614959,couchdb_test,0.24861801115031035,0.9818333333333332,4,repack
883f888adcdd4d4abb27aec5394e5efc,1609233813.7396681,couchdb_test,0.2567077763776728,0.9818333333333332,4,create
ea7b87b97397446f99b3f69447b7f681,1609233850.0052304,couchdb_test,0.45262570218623344,0.9818333333333332,4,create
a27248ebcaa941eab6ce4c17b7a0e72d,1609233900.0286686,couchdb_test,0.3821297405481275,0.9818333333333332,4,repack
efdab7f3d3924e768abaab5132d769b5,1609233917.2627363,linpack,0.5468972789062501,0.22573333333333334,1,create
3d676a82c0634c60a0d5ba43121c0e31,1609233917.8409948,linpack,0.5468972789062501,0.22573333333333334,2,create
