id,action,start_way,container_attr,container_way,queue_time,create_time,rent_time,inter_start,inter_end,end-to-end,container_start,container_end,exeuction
f7ea9eb3bc0249eb88f4e26af994a760,linpack,cold,exec,create,0.018507957458496094,9.20150899887085,0.005312204360961914,1609167825.1814826,1609167834.9483519,9.766869306564331,1609167834.4358723,1609167834.4547536,0.01888132095336914
e415cef3a5124615a9017b1914364ab1,network,cold,exec,create,0.03762364387512207,9.227878332138062,0.005347728729248047,1609167825.1889017,1609167834.9462786,9.757376909255981,1609167834.486298,1609167834.5058315,0.019533395767211914
be1bd0a302b343d8b9255e60f72299ef,linpack,warm,exec,queue,9.249466180801392,2.384185791015625e-07,4.76837158203125e-07,1609167825.1904957,1609167835.393592,10.203096151351929,1609167834.467713,1609167834.4751322,0.007419109344482422
b0546585b8564a27a24c374cd437378b,linpack,warm,exec,queue,9.266799211502075,2.384185791015625e-07,2.384185791015625e-07,1609167825.1921418,1609167836.3974981,11.205356359481812,1609167834.4835517,1609167834.4901464,0.006594657897949219
602bc0bc1a5042179d39ccef9f3e9bba,couchdb_test,cold,exec,create,0.01652693748474121,6.218241930007935,0.004670381546020508,1609167825.193865,1609167834.7292533,9.535388231277466,1609167831.4599566,1609167832.4890144,1.0290577411651611
c11f28f031d34f8d9a45b665cc081cfd,disk,cold,exec,create,0.0024199485778808594,10.48983907699585,0.010498046875,1609167825.1954498,1609167838.5360537,13.340603828430176,1609167835.7147489,1609167835.9744587,0.25970983505249023
fb7dbfbe6dd046f6abb52ceffe620fba,k-means,cold,exec,create,0.028412580490112305,13.329100608825684,0.004918813705444336,1609167825.1970532,1609167839.916267,14.719213724136353,1609167838.5761557,1609167838.5843909,0.00823521614074707
33a30d97e66243d89afcb38ba700c4ec,matmul,cold,exec,create,0.03404808044433594,11.462219715118408,0.0040721893310546875,1609167825.1987576,1609167837.0417573,11.842999696731567,1609167836.7156386,1609167836.7396903,0.024051666259765625
c854e640dca647ea80278a5d291ec99d,linpack,warm,exec,queue,8.323500394821167,2.384185791015625e-07,2.384185791015625e-07,1609167826.1468897,1609167834.9485714,8.801681756973267,1609167834.4958897,1609167834.5044196,0.008529901504516602
0b06eb599cc847c2973feaaced95feb4,linpack,warm,exec,queue,8.34004545211792,0.0,2.384185791015625e-07,1609167826.1519463,1609167836.3996603,10.247714042663574,1609167834.5261316,1609167834.5352645,0.009132862091064453
d5978a23e15b4bfcb896e7c432a6773e,linpack,warm,exec,queue,8.366228580474854,2.384185791015625e-07,2.384185791015625e-07,1609167826.1546187,1609167835.1226757,8.968056917190552,1609167834.546608,1609167834.5557964,0.009188413619995117
75570960f1864cd39e153cfc479494fc,linpack,warm,exec,queue,8.388753175735474,7.152557373046875e-07,7.152557373046875e-07,1609167826.1574714,1609167835.5962193,9.438747882843018,1609167834.56933,1609167834.5785854,0.009255409240722656
bac51c7d4f4041ba8e3e26ce75c5c1d8,linpack,warm,exec,queue,8.408493280410767,2.384185791015625e-07,2.384185791015625e-07,1609167826.1601076,1609167834.94974,8.789632320404053,1609167834.591918,1609167834.600765,0.00884699821472168
f4b993c350bd4c8ebc794a801fe59f83,linpack,warm,exec,queue,8.434676170349121,7.152557373046875e-07,2.384185791015625e-07,1609167826.1619117,1609167835.393233,9.231321334838867,1609167834.6171865,1609167834.624595,0.0074083805084228516
1c54b68a97db4f8eb3169504cc0760c1,linpack,warm,exec,queue,8.45700979232788,7.152557373046875e-07,4.76837158203125e-07,1609167826.163597,1609167838.1729388,12.009341716766357,1609167834.6423843,1609167834.6524503,0.010066032409667969
0b511d7268f84cb18c87f121a31cf523,linpack,warm,exec,queue,7.512556076049805,4.76837158203125e-07,7.152557373046875e-07,1609167827.1386611,1609167838.1719775,11.033316373825073,1609167834.6652792,1609167834.670695,0.005415916442871094
67841461aa3845d1b7a48c9d951ce9b1,couchdb_test,warm,exec,queue,6.010528802871704,2.384185791015625e-07,4.76837158203125e-07,1609167827.1428623,1609167833.7076998,6.564837455749512,1609167833.1650407,1609167833.169478,0.00443720817565918
7a0f2c7e722243b9aad3adffed7b49df,linpack,warm,exec,queue,6.5272016525268555,0.0,2.384185791015625e-07,1609167828.140555,1609167838.166588,10.026033163070679,1609167834.678916,1609167834.6875455,0.008629560470581055
cad90eb0ac894b6980f173e6e33aedc5,disk,warm,exec,queue,9.033086061477661,2.384185791015625e-07,4.76837158203125e-07,1609167828.1443248,1609167839.920683,11.776358127593994,1609167837.19079,1609167837.1964374,0.005647420883178711
4f386085b2a54b748ae331b861b1aa10,linpack,warm,exec,queue,5.4986114501953125,0.0,2.384185791015625e-07,1609167829.1626818,1609167836.0058923,6.843210458755493,1609167834.6963034,1609167834.703879,0.0075757503509521484
5a4b8af3afa14b3696fab04e3b8a225d,linpack,warm,exec,queue,5.536099195480347,0.0,2.384185791015625e-07,1609167829.1666856,1609167836.0128205,6.846134901046753,1609167834.778628,1609167834.785211,0.006582975387573242
96bed9bc64f7446f956db3a8f09a86ca,linpack,warm,exec,queue,5.54139256477356,2.384185791015625e-07,4.76837158203125e-07,1609167829.1690254,1609167835.7095068,6.540481328964233,1609167834.815857,1609167834.824219,0.008362054824829102
0a0430e627cb4f03a25ccb4eda1c806a,linpack,warm,exec,queue,5.576999664306641,2.384185791015625e-07,4.76837158203125e-07,1609167829.1713295,1609167836.0132477,6.841918230056763,1609167834.8229914,1609167834.8316643,0.008672952651977539
44edec17cf524b99b8604c2e72bb6bc0,linpack,warm,exec,queue,5.587709426879883,2.384185791015625e-07,4.76837158203125e-07,1609167829.1732116,1609167835.7051375,6.531925916671753,1609167834.8318987,1609167834.839021,0.0071222782135009766
6035597a981a4ef3bdd4726bcc441078,linpack,warm,exec,queue,5.592659950256348,2.384185791015625e-07,2.384185791015625e-07,1609167829.1747136,1609167835.709719,6.535005331039429,1609167834.838151,1609167834.847038,0.008887052536010742
b320373b302c44ee836f279c8871c827,linpack,warm,exec,queue,5.602874517440796,0.0,2.384185791015625e-07,1609167829.1761312,1609167838.1662664,8.990135192871094,1609167834.8483694,1609167834.8539953,0.00562596321105957
981391e862f640969af1acfb8c0cf33f,linpack,cold,exec,create,-4.016285419464111,9.476349830627441,0.009922504425048828,1609167829.1775668,1609167835.7099051,6.532338380813599,1609167834.7071438,1609167834.7695577,0.062413930892944336
689056b725dd4574856ba368464ca0cc,linpack,warm,exec,queue,5.476099967956543,0.0,2.384185791015625e-07,1609167829.1790674,1609167838.1723492,8.993281841278076,1609167834.7131324,1609167834.7206988,0.0075664520263671875
1d57ab5e085c48e586d4424a810f7aac,linpack,warm,exec,queue,5.492078065872192,0.0,2.384185791015625e-07,1609167829.1804962,1609167835.3905497,6.210053443908691,1609167834.7302928,1609167834.7389433,0.008650541305541992
2254a9cfcce743ac92376e615d6c46be,linpack,warm,exec,queue,5.507633209228516,2.384185791015625e-07,4.76837158203125e-07,1609167829.1819131,1609167835.7072139,6.525300741195679,1609167834.745621,1609167834.7534518,0.00783085823059082
10e319cea5e546d79ae1595b9ff13340,linpack,warm,exec,queue,5.523365020751953,2.384185791015625e-07,0.0,1609167829.1834145,1609167835.4885132,6.30509877204895,1609167834.762207,1609167834.7691236,0.006916522979736328
1ab529ce1fa64241a01641a38d010fb0,couchdb_test,warm,exec,queue,5.944393157958984,2.384185791015625e-07,2.384185791015625e-07,1609167829.1848507,1609167837.043955,7.85910439491272,1609167835.1967943,1609167835.2011595,0.004365205764770508
07fb185a8cf747a694a00a33fd353383,linpack,warm,exec,queue,4.688506841659546,2.384185791015625e-07,4.76837158203125e-07,1609167830.1471343,1609167836.8166597,6.669525384902954,1609167834.854252,1609167834.8624759,0.008223772048950195
12aeac6c27bb4735b0935d1b60ef6f06,linpack,warm,exec,queue,4.704996109008789,0.0,4.76837158203125e-07,1609167830.15135,1609167836.4019246,6.250574588775635,1609167834.8702292,1609167834.878173,0.007943868637084961
494461e85219405ead864b1f01de0cad,k-means,warm,exec,queue,10.039796352386475,2.384185791015625e-07,2.384185791015625e-07,1609167830.1529217,1609167841.339903,11.186981439590454,1609167840.2115958,1609167840.2178683,0.006272554397583008
d03ed06dbf5f44ceaa76fa569f8c91da,linpack,warm,exec,queue,4.699371814727783,2.384185791015625e-07,4.76837158203125e-07,1609167830.154471,1609167836.0134208,5.858949899673462,1609167834.8641293,1609167834.869998,0.005868673324584961
d94deef8da494492ab831aa70afc22d1,linpack,warm,exec,queue,3.6887943744659424,4.76837158203125e-07,2.384185791015625e-07,1609167831.1587505,1609167835.48899,4.330239534378052,1609167834.875639,1609167834.8818145,0.006175518035888672
382b55b9cfd74ce9aca3f3e99af05443,linpack,warm,exec,queue,3.699063539505005,2.384185791015625e-07,4.76837158203125e-07,1609167831.1643376,1609167836.013061,4.848723411560059,1609167834.8879976,1609167834.893631,0.005633354187011719
74e95f28b62b4ff1a695255486452a57,disk,warm,exec,queue,9.013738870620728,4.76837158203125e-07,2.384185791015625e-07,1609167831.1659179,1609167840.4612758,9.295357942581177,1609167840.209835,1609167840.213761,0.00392603874206543
0870218e416049ea8676c7e382f5e83c,linpack,warm,exec,queue,3.7037951946258545,2.384185791015625e-07,4.76837158203125e-07,1609167831.167379,1609167835.706967,4.539588212966919,1609167834.8929348,1609167834.9000342,0.0070993900299072266
9759355b0bee4c3c8f95f4ee8ce01d60,linpack,warm,exec,queue,3.713992118835449,2.384185791015625e-07,2.384185791015625e-07,1609167831.1688778,1609167838.1743975,7.00551962852478,1609167834.9050193,1609167834.9119968,0.006977558135986328
1c7fda8583224f3496ffe973a2e32ce3,linpack,warm,exec,queue,3.7189290523529053,2.384185791015625e-07,4.76837158203125e-07,1609167831.1704082,1609167838.173227,7.002818822860718,1609167834.9090877,1609167834.9167852,0.007697582244873047
41ae98ef630e4061a7413b93e498f7a1,linpack,warm,exec,queue,3.735055446624756,2.384185791015625e-07,7.152557373046875e-07,1609167831.1718683,1609167838.1659405,6.994072198867798,1609167834.9350793,1609167834.9425433,0.007463932037353516
9603806877b048be805df5ad02efdef7,linpack,warm,exec,queue,3.7414419651031494,2.384185791015625e-07,4.76837158203125e-07,1609167831.1733434,1609167838.1726484,6.999305009841919,1609167834.9370537,1609167834.9451742,0.008120536804199219
2eb29e2428534665acfe529ed89ed542,couchdb_test,warm,exec,queue,5.989104986190796,4.76837158203125e-07,4.76837158203125e-07,1609167831.174939,1609167839.5499008,8.374961853027344,1609167837.187013,1609167837.1913428,0.0043299198150634766
e0195012040c4cffa86d5940f849072c,linpack,warm,exec,queue,2.7981345653533936,2.384185791015625e-07,4.76837158203125e-07,1609167832.142903,1609167836.013587,3.8706839084625244,1609167834.9529464,1609167834.9598866,0.006940126419067383
81ae8b34c0c948c58ed7ceb7987a8830,linpack,warm,exec,queue,1.7954587936401367,2.384185791015625e-07,4.76837158203125e-07,1609167833.1462474,1609167835.4860017,2.339754343032837,1609167834.956311,1609167834.9624512,0.006140232086181641
bdf3a4b71aa9451faa8035177b3773ec,couchdb_test,warm,exec,queue,6.069988489151001,0.0,2.384185791015625e-07,1609167833.1509016,1609167840.0052595,6.854357957839966,1609167839.2370775,1609167839.2412438,0.004166364669799805
67086e1a6bb14ba692a2901ec5a83647,linpack,warm,exec,queue,0.790675163269043,2.384185791015625e-07,2.384185791015625e-07,1609167834.1672928,1609167837.0412893,2.8739964962005615,1609167834.9679098,1609167834.974368,0.006458282470703125
75c6bfce79d54b8998cf1f0d5118531e,linpack,warm,exec,queue,0.7240109443664551,2.384185791015625e-07,4.76837158203125e-07,1609167834.213678,1609167837.0444236,2.8307456970214844,1609167834.9742064,1609167834.9819977,0.007791280746459961
7377396050474b3e83a25214936b7ab5,linpack,warm,exec,queue,1.9394283294677734,4.76837158203125e-07,4.76837158203125e-07,1609167834.2170572,1609167836.8779197,2.660862445831299,1609167836.226749,1609167836.2350564,0.008307456970214844
685071420e1143a1a2578cd8e4fb84f1,linpack,warm,exec,queue,1.9454352855682373,2.384185791015625e-07,2.384185791015625e-07,1609167834.219055,1609167838.9567225,4.737667560577393,1609167836.23388,1609167836.2400768,0.006196737289428711
0f8cbec140d9469cbe3ba0b82ba2006f,linpack,warm,exec,queue,1.9556796550750732,2.384185791015625e-07,2.384185791015625e-07,1609167834.2211604,1609167836.820371,2.599210500717163,1609167836.2454698,1609167836.253297,0.007827281951904297
f1df9be571db48dd94422a8cbad3688f,linpack,warm,exec,queue,1.9606404304504395,2.384185791015625e-07,4.76837158203125e-07,1609167834.2231297,1609167838.1670897,3.943959951400757,1609167836.2492836,1609167836.255511,0.0062274932861328125
94b656475fb74f6390cdd7b0593f697b,linpack,warm,exec,queue,1.970933437347412,2.384185791015625e-07,2.384185791015625e-07,1609167834.2250857,1609167837.2409568,3.015871047973633,1609167836.2619336,1609167836.26891,0.00697636604309082
76616c47934545e78c8e95a745ccf710,linpack,warm,exec,queue,1.9764187335968018,0.0,2.384185791015625e-07,1609167834.2269928,1609167838.954789,4.7277960777282715,1609167836.2658584,1609167836.2730749,0.007216453552246094
50710258d9f14d74b7a9de7e47b25982,linpack,warm,exec,queue,0.8874099254608154,7.152557373046875e-07,4.76837158203125e-07,1609167834.2289371,1609167839.921924,5.692986965179443,1609167835.1813893,1609167835.1889217,0.007532358169555664
da558900c9e44ca7b665a28210097ad5,linpack,warm,exec,queue,0.8929493427276611,2.384185791015625e-07,2.384185791015625e-07,1609167834.2305267,1609167838.1675951,3.937068462371826,1609167835.1817994,1609167835.1902668,0.008467435836791992
089cda6ab78842cd929100e0ee7c8450,linpack,warm,exec,queue,0.9103972911834717,2.384185791015625e-07,2.384185791015625e-07,1609167834.2319622,1609167839.9210227,5.68906044960022,1609167835.1983757,1609167835.206285,0.007909297943115234
bf9fff7a92fd40afb56dbfaa7a665cf1,linpack,warm,exec,queue,0.6942214965820312,2.384185791015625e-07,4.76837158203125e-07,1609167834.2334805,1609167836.0065577,1.7730772495269775,1609167834.980684,1609167834.9872553,0.006571292877197266
e1b83ef0f42b43aba05c1a4be3aea245,disk,warm,exec,queue,8.901856184005737,2.384185791015625e-07,4.76837158203125e-07,1609167834.2358072,1609167843.6814494,9.445642232894897,1609167843.1885962,1609167843.1924708,0.003874540328979492
2e01d6619a6a4cf9a777cbb30ea49460,linpack,warm,exec,queue,1.1041038036346436,0.0,2.384185791015625e-07,1609167835.1571403,1609167838.5342238,3.3770835399627686,1609167836.2785594,1609167836.2854295,0.0068700313568115234
538ecf2300df4b6799471cf6a2023c3f,linpack,cold,exec,create,-8.9864182472229,10.50010895729065,0.0053288936614990234,1609167835.1602886,1609167837.0386357,1.8783471584320068,1609167836.6981788,1609167836.7267065,0.02852773666381836
4ebfcc59fb1942b5960710b8b2d8bc23,k-means,cold,exec,create,-5.011809349060059,14.60254979133606,0.005278110504150391,1609167835.1623094,1609167845.9484625,10.786153078079224,1609167844.7749906,1609167844.810598,0.035607337951660156
